A,B
30524265,22914327
30524265,22880029
30524265,22632969
30524265,22373667
30524265,22301995
30524265,22251432
30524265,22233220
30524265,22186024
30524265,22098189
30524265,22009045
30524265,21982369
30524265,21915101
30524265,21841800
30524265,21813214
30524265,21772323
30524265,21747756
30524265,21562258
30524265,21559417
30524265,21554732
30524265,21399908
30524265,21375481
30524265,21343881
30524265,21325059
30524265,21303699
30524265,21252228
30524265,21245577
30524265,21245015
30524265,21242314
30524265,21068151
30524265,20977765
30524265,20711464
30524265,20711177
30524265,20701279
30524265,20551914
30524265,20511551
30524265,20445061
30524265,20433710
30524265,20385841
30524265,20200163
30524265,20118279
30524265,20089925
30524265,20071342
30524265,19864570
30524265,19858467
30524265,19640926
30524265,19526281
30524265,19457162
30524265,19182805
30524265,19104149
30524265,18976489
30524265,18704197
30524265,18391963
30524265,18391962
30524265,18391961
30524265,18226468
30524265,18189141
30524265,18167537
30524265,17914185
30524265,17376993
30524265,17204153
30524265,16964263
30524265,16959795
30524265,16896109
30524265,16219675
30524265,16182554
30524265,15935098
30524265,15834418
30524265,15451224
30524265,15333840
30524265,12498954
30524265,12411925
30524265,12377775
30524265,11286556
30524265,9726379
30524265,9600990
30524265,1502878
30524270,28332488
30524270,27744249
30524270,27694060
30524270,27632061
30524270,27264400
30524270,26979893
30524270,26970886
30524270,26929929
30524270,26615477
30524270,26233581
30524270,25894561
30524270,25670653
30524270,25557656
30524270,25458148
30524270,25455700
30524270,25455699
30524270,25311450
30524270,25242294
30524270,25138223
30524270,25095816
30524270,24835473
30524270,24790168
30524270,24609821
30524270,24465708
30524270,24305993
30524270,23978691
30524270,23603517
30524270,23516062
30524270,23370318
30524270,23141636
30524270,22776685
30524270,22749389
30524270,22748312
30524270,22541943
30524270,22377431
30524270,22326059
30524270,22240093
30524270,22080998
30524270,22041097
30524270,21880615
30524270,21715166
30524270,21530728
30524270,21382449
30524270,21345241
30524270,21211977
30524270,21094944
30524270,21075935
30524270,20923910
30524270,20737542
30524270,20655606
30524270,20605097
30524270,20574039
30524270,20354902
30524270,20346453
30524270,20185314
30524270,20129786
30524270,19713694
30524270,19621072
